time,value
2023-08-28T11:11:37.063Z,96
2023-08-28T11:11:39.079Z,97
2023-08-28T11:11:45.115Z,96
2023-08-28T11:11:49.146Z,97
2023-08-28T11:11:51.164Z,96
2023-08-28T11:11:55.194Z,100
2023-08-28T11:11:59.223Z,96
2023-08-28T11:12:01.224Z,97
2023-08-28T11:12:05.254Z,96
2023-08-28T11:12:07.268Z,97
2023-08-28T11:12:09.278Z,96
2023-08-28T11:12:13.314Z,97
2023-08-28T11:12:15.319Z,96
2023-08-28T11:12:47.551Z,97
2023-08-28T11:12:49.556Z,96
2023-08-28T11:12:55.602Z,95
2023-08-28T11:12:57.623Z,96
2023-08-28T11:13:07.685Z,100
2023-08-28T11:13:09.707Z,95
2023-08-28T11:13:11.717Z,96
2023-08-28T11:13:17.768Z,95
2023-08-28T11:13:19.773Z,96
2023-08-28T11:13:21.789Z,95
2023-08-28T11:13:23.793Z,96
2023-08-28T11:13:25.823Z,95
2023-08-28T11:13:31.863Z,96
2023-08-28T11:13:33.88Z,95
2023-08-28T11:13:35.895Z,96
2023-08-28T11:13:37.895Z,100
2023-08-28T11:13:39.915Z,96
2023-08-28T11:13:45.952Z,95
2023-08-28T11:13:47.961Z,96
2023-08-28T11:13:51.992Z,95
